epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,3236.39,0.92409,0.61145,1.11009,0.91531,0.85329,0.9232,0.70982,0.91946,0.53731,1.07858,0.008515,0.008515,0.008515
152,3257.8,0.93877,0.61473,1.12746,0.9135,0.8695,0.9236,0.71516,0.92046,0.53589,1.07465,0.0085051,0.0085051,0.0085051
153,3279.29,0.92471,0.61503,1.11036,0.89614,0.87725,0.92596,0.71606,0.95029,0.53244,1.08581,0.0084952,0.0084952,0.0084952
154,3300.83,0.94018,0.62589,1.11954,0.90484,0.86833,0.92255,0.71681,0.92702,0.53473,1.07429,0.0084853,0.0084853,0.0084853
155,3322.33,0.91684,0.599,1.10701,0.91725,0.8503,0.92354,0.70976,0.93437,0.54198,1.07937,0.0084754,0.0084754,0.0084754
156,3343.86,0.92314,0.60509,1.11162,0.90705,0.87275,0.92592,0.72203,0.91187,0.54178,1.07516,0.0084655,0.0084655,0.0084655
157,3365.41,0.91816,0.60328,1.1124,0.92406,0.8488,0.92715,0.72182,0.91417,0.52777,1.07573,0.0084556,0.0084556,0.0084556
158,3386.87,0.91733,0.59971,1.10479,0.89252,0.88323,0.92315,0.71309,0.91873,0.53378,1.07232,0.0084457,0.0084457,0.0084457
159,3408.13,0.89985,0.60103,1.10482,0.91468,0.88024,0.9289,0.72,0.91224,0.52137,1.06885,0.0084358,0.0084358,0.0084358
160,3429.33,0.93246,0.61685,1.12131,0.92276,0.87126,0.92594,0.71758,0.91181,0.53122,1.06351,0.0084259,0.0084259,0.0084259
161,3451.08,0.91149,0.60558,1.10843,0.91844,0.86826,0.93137,0.72389,0.89772,0.51179,1.05798,0.008416,0.008416,0.008416
162,3472.71,0.9128,0.61368,1.12382,0.94064,0.85778,0.93219,0.72629,0.89621,0.5136,1.06342,0.0084061,0.0084061,0.0084061
163,3494.11,0.90568,0.60417,1.10345,0.91405,0.87874,0.92929,0.72646,0.90575,0.51147,1.06698,0.0083962,0.0083962,0.0083962
164,3515.63,0.91147,0.59931,1.10509,0.91937,0.88473,0.92457,0.72277,0.91557,0.53576,1.07522,0.0083863,0.0083863,0.0083863
165,3537.3,0.92273,0.60822,1.11473,0.92745,0.87126,0.92891,0.72624,0.89615,0.52378,1.06517,0.0083764,0.0083764,0.0083764
166,3558.68,0.89992,0.59403,1.09999,0.93701,0.86527,0.92829,0.72298,0.91672,0.52058,1.06888,0.0083665,0.0083665,0.0083665
167,3580.16,0.90043,0.58158,1.10677,0.92379,0.87126,0.9315,0.73063,0.91474,0.51499,1.06617,0.0083566,0.0083566,0.0083566
168,3601.85,0.90899,0.5917,1.11022,0.92408,0.89278,0.93237,0.73196,0.93252,0.51001,1.07304,0.0083467,0.0083467,0.0083467
