epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1572.39,0.96447,0.66353,1.14179,0.90509,0.85657,0.91684,0.68124,1.00029,0.59045,1.12808,0.0077428,0.0077428,0.0077428
116,1594.1,0.96718,0.66526,1.14696,0.89853,0.84581,0.91081,0.67994,1.00482,0.60414,1.13646,0.007723,0.007723,0.007723
117,1615.92,0.97647,0.67115,1.14189,0.91568,0.84431,0.91713,0.68424,0.99465,0.59866,1.12615,0.0077032,0.0077032,0.0077032
118,1637.79,0.98328,0.66486,1.15286,0.89367,0.85556,0.91696,0.69176,0.98731,0.59727,1.11885,0.0076834,0.0076834,0.0076834
119,1659.71,0.97296,0.64969,1.14428,0.9019,0.8533,0.91319,0.69104,0.98866,0.59177,1.11703,0.0076636,0.0076636,0.0076636
120,1681.52,0.964,0.65802,1.13913,0.90227,0.85778,0.9177,0.68974,1.00755,0.59715,1.12798,0.0076438,0.0076438,0.0076438
121,1703.42,0.95699,0.64333,1.13681,0.91607,0.83982,0.91144,0.68668,0.99836,0.58094,1.12011,0.007624,0.007624,0.007624
122,1725.29,0.95837,0.6364,1.13546,0.9048,0.85479,0.92452,0.69615,0.98585,0.56633,1.11068,0.0076042,0.0076042,0.0076042
123,1747.11,0.94057,0.63666,1.12825,0.89601,0.86422,0.92464,0.70468,0.98493,0.5633,1.11149,0.0075844,0.0075844,0.0075844
124,1768.83,0.96429,0.64263,1.13747,0.91463,0.85008,0.92374,0.69499,0.99397,0.56108,1.12323,0.0075646,0.0075646,0.0075646
125,1790.68,0.95679,0.63341,1.13044,0.8942,0.873,0.9204,0.69526,0.97287,0.57187,1.10337,0.0075448,0.0075448,0.0075448
126,1812.45,0.95395,0.63552,1.12984,0.88165,0.88097,0.9211,0.69174,0.97624,0.57291,1.112,0.007525,0.007525,0.007525
127,1834.12,0.95237,0.64317,1.1339,0.91861,0.84483,0.92603,0.70085,0.99191,0.57344,1.11276,0.0075052,0.0075052,0.0075052
128,1855.77,0.95761,0.65869,1.14362,0.91221,0.85552,0.92709,0.70305,0.98116,0.57012,1.11374,0.0074854,0.0074854,0.0074854
129,1877.51,0.94407,0.62699,1.12706,0.91946,0.8488,0.92029,0.69986,0.98447,0.57085,1.10434,0.0074656,0.0074656,0.0074656
130,1899.15,0.94368,0.63152,1.12894,0.90716,0.86677,0.92368,0.70285,0.97648,0.55651,1.11867,0.0074458,0.0074458,0.0074458
131,1920.84,0.95039,0.63424,1.13788,0.91462,0.85629,0.92423,0.70171,0.9886,0.55659,1.12162,0.007426,0.007426,0.007426
132,1942.54,0.95169,0.63323,1.1373,0.90307,0.87126,0.92618,0.70016,0.99511,0.56371,1.12045,0.0074062,0.0074062,0.0074062
133,1964.38,0.93319,0.61916,1.12559,0.91482,0.86976,0.92862,0.71018,0.98281,0.55505,1.09456,0.0073864,0.0073864,0.0073864
134,1978.43,0.92888,0.61583,1.1182,0.92465,0.86339,0.93277,0.70928,0.94788,0.53418,1.08527,0.0073666,0.0073666,0.0073666
135,1999.56,0.93165,0.61878,1.11905,0.90344,0.88024,0.92501,0.70966,0.96869,0.54648,1.09938,0.0073468,0.0073468,0.0073468
136,2021.35,0.9429,0.62704,1.12694,0.89505,0.8809,0.92587,0.70769,0.96166,0.55397,1.09939,0.007327,0.007327,0.007327
137,2043.21,0.91796,0.60519,1.10997,0.89382,0.88216,0.93324,0.70607,0.97171,0.54522,1.10049,0.0073072,0.0073072,0.0073072
138,2065,0.93371,0.61721,1.12873,0.9217,0.86344,0.92409,0.70727,0.95117,0.54234,1.0968,0.0072874,0.0072874,0.0072874
139,2086.76,0.92618,0.60317,1.1133,0.92766,0.8518,0.92729,0.70941,0.96421,0.543,1.08771,0.0072676,0.0072676,0.0072676
140,2108.49,0.92363,0.60125,1.10781,0.93833,0.84271,0.92643,0.71029,0.95249,0.54218,1.09321,0.0072478,0.0072478,0.0072478
141,2130.33,0.92284,0.60725,1.1209,0.91001,0.86078,0.92602,0.71243,0.9596,0.54597,1.09266,0.007228,0.007228,0.007228
142,2152.29,0.92875,0.61626,1.11877,0.94202,0.84581,0.93084,0.71329,0.96148,0.5325,1.09106,0.0072082,0.0072082,0.0072082
143,2174.24,0.9117,0.60532,1.11809,0.92588,0.87275,0.9303,0.70783,0.97029,0.55227,1.10465,0.0071884,0.0071884,0.0071884
144,2196.13,0.90746,0.61141,1.11341,0.92136,0.87874,0.93037,0.70793,0.95724,0.54799,1.11105,0.0071686,0.0071686,0.0071686
145,2217.98,0.9073,0.61163,1.12221,0.90372,0.88922,0.92821,0.70997,0.94911,0.51912,1.10131,0.0071488,0.0071488,0.0071488
146,2239.77,0.92172,0.60839,1.11675,0.92383,0.87147,0.92405,0.71225,0.94181,0.52959,1.09399,0.007129,0.007129,0.007129
147,2261.6,0.91299,0.60352,1.10659,0.91305,0.88036,0.92894,0.71628,0.93718,0.52562,1.07808,0.0071092,0.0071092,0.0071092
148,2283.32,0.90687,0.5975,1.10933,0.91737,0.88089,0.92696,0.71391,0.94847,0.52115,1.08859,0.0070894,0.0070894,0.0070894
149,2305.11,0.91383,0.6052,1.10779,0.93785,0.85845,0.92613,0.71953,0.92733,0.51618,1.07719,0.0070696,0.0070696,0.0070696
150,2326.9,0.91109,0.60008,1.1091,0.89766,0.87725,0.92526,0.71828,0.93243,0.54123,1.07063,0.0070498,0.0070498,0.0070498
151,2348.82,0.89965,0.58042,1.1012,0.91427,0.87811,0.92508,0.71932,0.93166,0.52515,1.08164,0.00703,0.00703,0.00703
152,2370.53,0.90939,0.59136,1.10878,0.92636,0.86826,0.93109,0.72243,0.92296,0.5239,1.07657,0.0070102,0.0070102,0.0070102
153,2392.55,0.90044,0.59527,1.09696,0.93545,0.86772,0.93563,0.72941,0.92524,0.51482,1.07286,0.0069904,0.0069904,0.0069904
154,2414.23,0.91638,0.60211,1.10567,0.92832,0.87239,0.92876,0.7201,0.9297,0.51595,1.0719,0.0069706,0.0069706,0.0069706
155,2435.9,0.89289,0.58003,1.09302,0.92241,0.87199,0.92989,0.72442,0.91404,0.53355,1.07467,0.0069508,0.0069508,0.0069508
156,2457.78,0.89373,0.58898,1.10115,0.92115,0.89197,0.93379,0.72208,0.92735,0.53123,1.08781,0.006931,0.006931,0.006931
157,2479.61,0.89409,0.57806,1.10163,0.91445,0.86976,0.92946,0.72574,0.91582,0.52078,1.07874,0.0069112,0.0069112,0.0069112
158,2501.31,0.88761,0.57598,1.09186,0.92095,0.87725,0.92513,0.71833,0.92928,0.53139,1.09017,0.0068914,0.0068914,0.0068914
159,2523.08,0.8776,0.57565,1.09411,0.89896,0.88623,0.92295,0.7235,0.92565,0.52658,1.07183,0.0068716,0.0068716,0.0068716
160,2544.77,0.90577,0.59214,1.1026,0.91793,0.87062,0.93137,0.72709,0.90856,0.52483,1.06592,0.0068518,0.0068518,0.0068518
161,2566.5,0.88381,0.5747,1.08679,0.93574,0.87198,0.93267,0.72718,0.91862,0.51191,1.07321,0.006832,0.006832,0.006832
162,2588.18,0.89408,0.5861,1.10725,0.92824,0.87143,0.93327,0.72723,0.91548,0.51879,1.06729,0.0068122,0.0068122,0.0068122
163,2609.82,0.87968,0.57307,1.0879,0.92754,0.89072,0.93079,0.73204,0.8981,0.50788,1.06593,0.0067924,0.0067924,0.0067924
164,2631.45,0.89132,0.5797,1.09751,0.92412,0.87512,0.92771,0.72724,0.9012,0.51304,1.07133,0.0067726,0.0067726,0.0067726
165,2653.27,0.8922,0.58668,1.09376,0.94273,0.86249,0.92968,0.7291,0.92217,0.5038,1.07899,0.0067528,0.0067528,0.0067528
166,2675.05,0.88034,0.57144,1.0854,0.93025,0.88323,0.93584,0.73232,0.92698,0.51574,1.08338,0.006733,0.006733,0.006733
167,2696.83,0.88111,0.5635,1.0907,0.91993,0.87575,0.92781,0.72221,0.92392,0.53461,1.06979,0.0067132,0.0067132,0.0067132
168,2718.64,0.88493,0.57108,1.09046,0.91966,0.89104,0.93155,0.73443,0.92217,0.51474,1.07161,0.0066934,0.0066934,0.0066934
169,2740.49,0.85801,0.56354,1.08023,0.9346,0.88473,0.93528,0.73291,0.92084,0.51043,1.07235,0.0066736,0.0066736,0.0066736
170,2762.15,0.88018,0.57337,1.09759,0.93578,0.87874,0.93466,0.73208,0.91024,0.50094,1.07879,0.0066538,0.0066538,0.0066538
171,2783.83,0.86725,0.56245,1.07899,0.93266,0.87079,0.93187,0.73017,0.90886,0.50383,1.0706,0.006634,0.006634,0.006634
172,2805.5,0.8686,0.55589,1.07244,0.9064,0.88425,0.93259,0.73189,0.907,0.50361,1.05937,0.0066142,0.0066142,0.0066142
173,2827.32,0.86881,0.55661,1.08645,0.92775,0.86508,0.93243,0.7309,0.88812,0.50028,1.0568,0.0065944,0.0065944,0.0065944
174,2848.38,0.8606,0.55887,1.08333,0.90503,0.89371,0.93106,0.73594,0.87708,0.49373,1.05613,0.0065746,0.0065746,0.0065746
175,2860.15,0.86981,0.55547,1.08226,0.93527,0.88024,0.93637,0.74084,0.87915,0.49222,1.05772,0.0065548,0.0065548,0.0065548
176,2874.09,0.85736,0.55573,1.07962,0.92004,0.89569,0.93761,0.737,0.89048,0.48629,1.0632,0.006535,0.006535,0.006535
177,2895.99,0.86467,0.55108,1.08185,0.92967,0.88623,0.93487,0.73548,0.89146,0.49295,1.05678,0.0065152,0.0065152,0.0065152
178,2917.66,0.86095,0.54933,1.07507,0.91829,0.89162,0.94001,0.74066,0.90316,0.49187,1.06073,0.0064954,0.0064954,0.0064954
179,2939.43,0.85927,0.54425,1.08479,0.95047,0.85928,0.94313,0.73999,0.90276,0.48635,1.05289,0.0064756,0.0064756,0.0064756
180,2955.1,0.86136,0.55994,1.07058,0.92936,0.89222,0.94382,0.74071,0.88609,0.48231,1.04294,0.0064558,0.0064558,0.0064558
181,2967.51,0.86636,0.55778,1.0858,0.91574,0.9111,0.93788,0.74421,0.89039,0.48976,1.04799,0.006436,0.006436,0.006436
